id,old_category,old_note
2352,出行/_未分类,
2355,出行/_未分类,
2356,出行/_未分类,
2362,出行/_未分类,
2368,出行/_未分类,
2372,出行/_未分类,
2374,出行/_未分类,
2377,出行/_未分类,
2379,出行/_未分类,
2385,出行/_未分类,
2392,出行/_未分类,
2395,出行/_未分类,
2403,出行/_未分类,
2404,出行/_未分类,
2408,出行/_未分类,
2412,出行/_未分类,
2420,出行/_未分类,
2422,出行/_未分类,
2426,出行/_未分类,停车费
2439,出行/_未分类,
2441,出行/_未分类,
2442,出行/_未分类,
2443,出行/_未分类,
2449,出行/_未分类,
2460,出行/_未分类,
2464,出行/_未分类,
2465,出行/_未分类,
2470,出行/_未分类,
2475,出行/_未分类,
2477,出行/_未分类,
2481,出行/_未分类,
2485,出行/_未分类,
2487,出行/_未分类,
2488,出行/_未分类,
2492,出行/_未分类,
2503,出行/_未分类,
2505,出行/_未分类,
2512,出行/_未分类,
2518,出行/_未分类,
2522,出行/_未分类,
2523,出行/_未分类,
2526,出行/_未分类,
2528,出行/_未分类,
2545,出行/_未分类,
2546,出行/_未分类,
2547,出行/_未分类,
2550,出行/_未分类,
2558,出行/_未分类,
2560,出行/_未分类,
2563,出行/_未分类,
2567,出行/_未分类,
2568,出行/_未分类,
2570,出行/_未分类,
2580,出行/_未分类,
2581,出行/_未分类,
2583,出行/_未分类,
2584,出行/_未分类,
2587,出行/_未分类,
2595,出行/_未分类,
2596,出行/_未分类,
2604,出行/_未分类,
2606,出行/_未分类,
2609,出行/_未分类,停车费
2610,出行/_未分类,
2611,出行/_未分类,
2614,出行/_未分类,
2616,出行/_未分类,
2619,出行/_未分类,
2631,出行/_未分类,
2633,出行/_未分类,
2643,出行/_未分类,
2656,出行/_未分类,
2660,出行/_未分类,
2664,出行/_未分类,
2669,出行/_未分类,
2673,出行/_未分类,
2689,出行/_未分类,
2690,出行/_未分类,
2693,出行/_未分类,
2697,出行/_未分类,
2700,出行/_未分类,
2707,出行/_未分类,
2724,出行/_未分类,岸鸣
2742,出行/_未分类,岸鸣
2748,出行/_未分类,
2763,出行/_未分类,美团
2766,出行/_未分类,高德打车
2811,出行/_未分类,智行物联
2832,出行/_未分类,
2837,出行/_未分类,
2852,出行/_未分类,南京市财政局
2860,出行/_未分类,莱充车服
2871,出行/_未分类,
2872,出行/_未分类,高德打车
2874,出行/_未分类,
2893,出行/_未分类,
2894,出行/_未分类,美团
2943,出行/_未分类,
2971,出行/_未分类,
2972,出行/_未分类,高德打车
2978,出行/_未分类,
2994,出行/_未分类,
2995,出行/_未分类,
3000,出行/_未分类,
3001,出行/_未分类,
3002,出行/_未分类,
3008,出行/_未分类,
3009,出行/_未分类,
3016,出行/_未分类,停车费
3029,出行/_未分类,
3040,出行/_未分类,
3048,出行/_未分类,
3049,出行/_未分类,
3059,出行/_未分类,
3067,出行/_未分类,
3069,出行/_未分类,
3080,出行/_未分类,
3081,出行/_未分类,打车
3090,出行/_未分类,
3093,出行/_未分类,
3098,出行/_未分类,
3099,出行/_未分类,
3100,出行/_未分类,
3103,出行/_未分类,
3105,出行/_未分类,
3108,出行/_未分类,
3112,出行/_未分类,美团
3117,出行/_未分类,
3125,出行/_未分类,
3128,出行/_未分类,江苏通行宝智慧交通科技有限公司
3129,出行/_未分类,
3134,出行/_未分类,
3136,出行/_未分类,
3138,出行/_未分类,
3165,出行/_未分类,南京市财政局
3222,出行/_未分类,飞机发票
3245,出行/_未分类,
3251,出行/_未分类,美团
3257,出行/_未分类,
3258,出行/_未分类,
3260,出行/_未分类,
3261,出行/_未分类,
3266,出行/_未分类,
3273,出行/_未分类,美团
3291,出行/_未分类,
3300,出行/_未分类,
3301,出行/_未分类,
3302,出行/_未分类,
3313,出行/_未分类,
3314,出行/_未分类,待姚丹萍确认收款
3324,出行/_未分类,中国南方航空白云航旅
3328,出行/_未分类,
3333,出行/_未分类,
3338,出行/_未分类,
3345,出行/_未分类,
3349,出行/_未分类,
3369,出行/_未分类,
3370,出行/_未分类,
3373,出行/_未分类,
3383,出行/_未分类,南京市财政局
3386,出行/_未分类,
3390,出行/_未分类,
3393,出行/_未分类,高德打车
3421,出行/_未分类,
3424,出行/_未分类,
3429,出行/_未分类,
3434,出行/_未分类,
3442,出行/_未分类,
3450,出行/_未分类,高德打车
3459,出行/_未分类,
3460,出行/_未分类,
3462,出行/_未分类,
3464,出行/_未分类,
3468,出行/_未分类,
3469,出行/_未分类,
3497,出行/_未分类,
3517,出行/_未分类,
